127.0.0.1 - - [24/Dec/2018:00:10:13 +0530] "GET / HTTP/1.1" 404 1074
127.0.0.1 - - [24/Dec/2018:00:50:11 +0530] "GET /manager/text/ HTTP/1.1" 404 1095
127.0.0.1 - - [24/Dec/2018:00:51:54 +0530] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [24/Dec/2018:00:51:54 +0530] "GET /manager/text/ HTTP/1.1" 404 1095
127.0.0.1 - - [24/Dec/2018:16:43:38 +0530] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [24/Dec/2018:16:43:38 +0530] "GET /manager/text/ HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:16:47 +0530] "GET /KBC/Index.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:16:52 +0530] "GET /KBC/Login?uname=jayant&pass=123&submit=Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:16:52 +0530] "GET /KBC/Welcome.jsp HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:16:54 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:16:57 +0530] "GET /KBC/StartPlaying?Start+playing=Start+playing HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:16:57 +0530] "GET /KBC/StartPlaying.jsp HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:17:00 +0530] "GET /KBC/InviteAudience?Invite+Audience=Invite+Audience HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:17:00 +0530] "GET /KBC/InviteAudience.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:17:01 +0530] "GET /KBC/GetMobileNo?GetMobileNo=Get+Mobile+number HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:17:01 +0530] "GET /KBC/GetMobileNo.jsp HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:18:26 +0530] "GET /KBC/SendRequest?Input+Mobile+no=9632151507&Send+Request=Send+Request HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:18:26 +0530] "GET /KBC/SendRequest.jsp HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:18:31 +0530] "GET /KBC/Logout?submit=Logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:18:31 +0530] "GET /KBC/Index.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:18:36 +0530] "GET /KBC/Login?uname=jayant&pass=123&submit=Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:18:36 +0530] "GET /KBC/Welcome.jsp HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:18:37 +0530] "GET /KBC/StartPlaying?Start+playing=Start+playing HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:18:37 +0530] "GET /KBC/StartPlaying.jsp HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:18:39 +0530] "GET /KBC/InviteAudience?Invite+Audience=Invite+Audience HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:18:39 +0530] "GET /KBC/InviteAudience.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:18:41 +0530] "GET /KBC/GetMobileNo?GetMobileNo=Get+Mobile+number HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:18:41 +0530] "GET /KBC/GetMobileNo.jsp HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:18:43 +0530] "GET /KBC/SendRequest?Input+Mobile+no=Enter+the+mobile+number&Send+Request=Send+Request HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:18:43 +0530] "GET /KBC/SendRequest.jsp HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:22:44 +0530] "GET /KBC/Index.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:22:51 +0530] "GET /KBC/Login?uname=jayant&pass=123&submit=Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:22:51 +0530] "GET /KBC/Welcome.jsp HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:22:52 +0530] "GET /KBC/StartPlaying?Start+playing=Start+playing HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:22:52 +0530] "GET /KBC/StartPlaying.jsp HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:22:53 +0530] "GET /KBC/InviteAudience?Invite+Audience=Invite+Audience HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:22:53 +0530] "GET /KBC/InviteAudience.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:22:54 +0530] "GET /KBC/GetMobileNo?GetMobileNo=Get+Mobile+number HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:22:54 +0530] "GET /KBC/GetMobileNo.jsp HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:22:55 +0530] "GET /KBC/SendRequest?Input+Mobile+no=Enter+the+mobile+number&Send+Request=Send+Request HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Dec/2018:17:22:55 +0530] "GET /KBC/SMSTest.java HTTP/1.1" 404 1094
