127.0.0.1 - - [22/Dec/2018:21:43:18 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:52:15 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:52:16 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:52:16 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:52:16 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:52:20 +0530] "GET /KBC/Results?first=Jayant&last=Agarwal&email=jayantagarwal777%40gmail.com&gender=Male&state=JH&submit=Submit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:52:20 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:52:50 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:52:50 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:52:50 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:52:51 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:52:51 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:52:56 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:52:57 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:52:57 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:55:11 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:55:12 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:55:12 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:55:47 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 814
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:56:15 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:56:35 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 868
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:56:59 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 876
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:57:00 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 876
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:57:00 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 876
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:58:44 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:59:32 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:59:33 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [22/Dec/2018:21:59:33 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:01:26 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:01:27 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:01:27 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:01:27 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:01:27 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:01:27 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:01:28 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:01:28 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:01:29 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:01:29 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:04:02 +0530] "GET /KBC/Index.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:04:07 +0530] "GET /KBC/Login?uname=welcome&pass=123&submit=Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:04:07 +0530] "GET /KBC/Index.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:04:14 +0530] "GET /KBC/Login?uname=jayant&pass=123&submit=Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:04:14 +0530] "GET /KBC/Welcome.jsp HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:04:16 +0530] "GET /KBC/Logout?submit=Logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:04:16 +0530] "GET /KBC/Index.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:41:19 +0530] "GET /KBC/SignUp?submit=Sign+Up HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:41:19 +0530] "GET /KBC/Signup.jsp HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:44:56 +0530] "GET /KBC/SignUp?submit=Sign+Up HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:44:56 +0530] "GET /KBC/Signup.jsp HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:44:58 +0530] "GET /KBC/Results?first=&last=&email=&state=+&submit=Submit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:44:58 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:46:45 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:46:45 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:46:45 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:46:49 +0530] "GET /KBC/OTP.java?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:49:12 +0530] "GET /KBC/Results?first=Jayant&last=Agarwal&email=&state=+&submit=Submit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:49:12 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 850
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:49:14 +0530] "GET /KBC/OTP.java?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:50:38 +0530] "GET /KBC/Results?first=Jayant&last=Agarwal&email=&state=+&submit=Submit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:50:38 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:50:40 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:51:26 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:52:56 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:52:58 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:53:00 +0530] "GET /KBC/SignUp?submit=Sign+Up HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:53:00 +0530] "GET /KBC/Signup.jsp HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:53:01 +0530] "GET /KBC/Results?first=&last=&email=&state=+&submit=Submit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:53:01 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 826
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:53:02 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:54:06 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:54:07 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:54:09 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:54:12 +0530] "GET /KBC/SignUp?submit=Sign+Up HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:54:12 +0530] "GET /KBC/Signup.jsp HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:54:13 +0530] "GET /KBC/Results?first=&last=&email=&state=+&submit=Submit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:54:13 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 826
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:54:14 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:56:27 +0530] "GET /KBC/Logout?submit=Logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:56:27 +0530] "GET /KBC/Index.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:56:29 +0530] "GET /KBC/SignUp?submit=Sign+Up HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:56:29 +0530] "GET /KBC/Signup.jsp HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:58:03 +0530] "GET /KBC/Results?first=Jayant&last=Agarwal&email=&gender=Male&state=+&submit=Submit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:58:03 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:58:05 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:59:17 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:59:17 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:59:17 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:59:17 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:59:17 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Dec/2018:22:59:18 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:01:16 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:01:19 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:06:11 +0530] "GET /KBC/ HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:06:14 +0530] "GET /KBC/Index.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:06:18 +0530] "GET /KBC/SignUp?submit=Sign+Up HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:06:18 +0530] "GET /KBC/Signup.jsp HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:06:24 +0530] "GET /KBC/Results?first=Jayant&last=Agarwal&email=&state=+&submit=Submit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:06:24 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:06:27 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:07:02 +0530] "GET /KBC/Results?first=Jayant&last=Agarwal&email=&state=+&submit=Submit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:07:02 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:07:06 +0530] "GET /KBC/SignUp?submit=Sign+Up HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:07:06 +0530] "GET /KBC/Signup.jsp HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:07:11 +0530] "GET /KBC/Results?first=&last=&email=&state=+&submit=Submit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:07:11 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:07:13 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:12:42 +0530] "GET /KBC/ HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:12:57 +0530] "GET /KBC/Index.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:13:00 +0530] "GET /KBC/SignUp?submit=Sign+Up HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:13:00 +0530] "GET /KBC/Signup.jsp HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:13:04 +0530] "GET /KBC/Results?first=Jayant&last=&email=&state=+&submit=Submit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:13:04 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:13:05 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:15:37 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:19:49 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:19:49 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:19:49 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:19:49 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:19:49 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:19:51 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:20:55 +0530] "GET /KBC/Index.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:20:56 +0530] "GET /KBC/SignUp?submit=Sign+Up HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:20:56 +0530] "GET /KBC/Signup.jsp HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:20:59 +0530] "GET /KBC/Results?first=&last=&email=&state=+&submit=Submit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:20:59 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:21:00 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:21:00 +0530] "GET /KBC/OTPPage.jsp HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:21:08 +0530] "GET /KBC/OTPPage.jsp HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:21:08 +0530] "GET /KBC/OTPPage.jsp HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:21:08 +0530] "GET /KBC/OTPPage.jsp HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:21:08 +0530] "GET /KBC/OTPPage.jsp HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:21:08 +0530] "GET /KBC/OTPPage.jsp HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:21:09 +0530] "GET /KBC/OTPPage.jsp HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:21:09 +0530] "GET /KBC/OTPPage.jsp HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:21:09 +0530] "GET /KBC/OTPPage.jsp HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:21:09 +0530] "GET /KBC/OTPPage.jsp HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:21:09 +0530] "GET /KBC/OTPPage.jsp HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:21:09 +0530] "GET /KBC/OTPPage.jsp HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:21:10 +0530] "GET /KBC/OTPPage.jsp HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:21:28 +0530] "GET /KBC/OTPPage.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:21:28 +0530] "GET /KBC/OTPPage.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:21:28 +0530] "GET /KBC/OTPPage.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:23:08 +0530] "GET /KBC/Index.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:23:10 +0530] "GET /KBC/SignUp?submit=Sign+Up HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:23:10 +0530] "GET /KBC/Signup.jsp HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:23:12 +0530] "GET /KBC/Results?first=&last=&email=&state=+&submit=Submit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:23:12 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:23:13 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:23:13 +0530] "GET /KBC/OTPPage.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:37:42 +0530] "GET /KBC/SignUp?submit=Sign+Up HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:37:42 +0530] "GET /KBC/Signup.jsp HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:37:44 +0530] "GET /KBC/Results?first=&last=&email=&state=+&submit=Submit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:37:44 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:37:45 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 500 1759
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:38:22 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:38:23 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:38:23 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:38:26 +0530] "GET /KBC/Results?first=&last=&email=&state=+&submit=Submit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:38:26 +0530] "GET /KBC/results.jsp HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:38:27 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:40:59 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:40:59 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Dec/2018:23:40:59 +0530] "GET /KBC/OTP?Join+as+Audeince=Join+as+Audeince HTTP/1.1" 200 -
